Data extracted on 09/09/2024 14:35:21 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,All ISCED 2011 levels,,
Sex,,Total,,
Age class,,From 16 to 44 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),43.1,30.6,13.5,12.8
Belgium,38.1,27.3,18.6,16
Bulgaria,57.3,21.1,12.7,8.9
Czechia,37.2,32.3,15.2,15.3
Denmark,27.2,40.2,16.9,15.8
Germany,:,:,:,:
Estonia,27.1,39.9,17,16.1
Ireland,33.4,30.2,12.2,24.2
Greece,48.7,36.5,9.1,5.6
Spain,40.4,39.5,11.8,8.3
France,36.5,31.8,15,16.7
Croatia,47.1,25.1,16.6,11.1
Italy,60.9,17.5,9.8,11.8
Cyprus,68.7,21.1,6.7,3.5
Latvia,48.9,23.8,15.9,11.4
Lithuania,40.7,34,15.4,9.9
Luxembourg,24.7,50.7,11.3,13.2
Hungary,45.7,31.9,13.5,8.9
Malta,53.1,30.3,8.2,8.4
Netherlands,33.6,33.5,18.9,14.1
Austria,34,35.1,16.3,14.6
Poland,38,26.5,16.6,18.9
Portugal,49.9,35.7,8.8,5.5
Romania,60.3,25.5,9.8,4.4
Slovenia,36.7,31.6,14.3,17.3
Slovakia,48.9,30.5,12,8.5
Finland,25.8,35.9,18.5,19.8
Sweden,28.9,37,16.8,17.3
Norway,28.3,37.1,17.4,17.1
Switzerland,17,36.7,22,24.3
Montenegro,55.1,23.3,13.4,8.3
Serbia,54.7,27.6,13.2,4.5
Türkiye,60.8,19.7,8.7,10.8
,,,,
Special value,,,,
:,not available,,,
