Data extracted on 09/09/2024 14:35:24 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,"Less than primary, primary and lower secondary education (levels 0-2)",,
Sex,,Total,,
Age class,,From 45 to 54 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),75.3,16.9,3.9,3.9
Belgium,69.4,15.8,7.7,7.2
Bulgaria,96.3,2.4,0.7,0.6
Czechia,70,17.3,7.8,4.9
Denmark,60.7,24.4,10.4,4.5
Germany,:,:,:,:
Estonia,60.4,25,7.6,7
Ireland,63.5,20.4,7.1,9.1
Greece,76.2,19.4,3.2,1.2
Spain,70.4,23.3,3.5,2.8
France,67.3,25.2,3.4,4.1
Croatia,89,7.4,3.3,0.2
Italy,82.4,10.1,3.7,3.8
Cyprus,87.2,10.2,0.7,1.9
Latvia,81.9,10.7,2.2,5.3
Lithuania,80.1,14.4,4.1,1.4
Luxembourg,64.1,23.1,8.4,4.3
Hungary,84.4,11.3,3.2,1.1
Malta,72.8,19.1,4.4,3.6
Netherlands,54.7,20.3,11.6,13.4
Austria,69.3,22.6,3.3,4.9
Poland,73.6,15.2,4.4,6.9
Portugal,82.9,14.4,1.5,1.2
Romania,94.9,4.7,0.3,0.1
Slovenia,75.6,16.1,5.1,3.2
Slovakia,93.9,2.4,0.9,2.9
Finland,40,30.1,12.1,17.8
Sweden,45.4,29.9,13.4,11.4
Norway,52.7,21.6,12,13.8
Switzerland,54.9,34.2,6.4,4.5
Montenegro,92,6.8,0,1.2
Serbia,95.5,3.8,0.4,0.2
Türkiye,88.2,9.5,1.3,1
,,,,
Special value,,,,
:,not available,,,
