Data extracted on 09/09/2024 14:35:25 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,"Less than primary, primary and lower secondary education (levels 0-2)",,
Sex,,Males,,
Age class,,From 45 to 54 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),81.5,13,3,2.5
Belgium,72.4,18.1,4.8,4.7
Bulgaria,97.5,2,0.3,0.2
Czechia,80,17.4,0,2.6
Denmark,61.5,22.7,11.1,4.6
Germany,:,:,:,:
Estonia,61.1,25.4,6.4,7.2
Ireland,68.3,17.9,6,7.8
Greece,82.4,14.5,2.2,0.9
Spain,78.2,17.8,2.4,1.6
France,76,17.7,2.6,3.7
Croatia,97.3,2.5,0.3,0
Italy,85.8,8.3,3.6,2.3
Cyprus,91.9,7.2,0,1
Latvia,82.5,5.6,3.2,8.8
Lithuania,80,15,5,0
Luxembourg,72.4,18.1,8.4,1.1
Hungary,90.2,9.5,0,0.3
Malta,83.1,12.9,3.2,0.9
Netherlands,61.7,23,8.3,7
Austria,75.8,21.8,0,2.4
Poland,88.2,10.3,0.2,1.3
Portugal,87.4,10.6,0.9,1.1
Romania,98.7,1.3,0,0
Slovenia,83.9,10.5,3.3,2.3
Slovakia,97.1,2.9,0,0
Finland,46.7,31.5,10.9,10.9
Sweden,52.9,22.6,11,13.5
Norway,55.5,21.6,12.4,10.5
Switzerland,62.2,28.4,6.8,2.7
Montenegro,96,4,0,0
Serbia,97,2.2,0.3,0.5
Türkiye,92,6.1,1.1,0.8
,,,,
Special value,,,,
:,not available,,,
