Data extracted on 09/09/2024 14:35:22 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,All ISCED 2011 levels,,
Sex,,Total,,
Age class,,From 30 to 54 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),46.6,28.6,12.2,12.7
Belgium,39.6,25.2,18.3,16.9
Bulgaria,62.7,19.3,10.2,7.9
Czechia,38.3,32.4,14.4,14.9
Denmark,28.1,35.3,16.4,20.2
Germany,:,:,:,:
Estonia,29.2,37.9,16.4,16.5
Ireland,32.7,29.6,13.2,24.5
Greece,54.4,33.4,8.1,4.2
Spain,44.5,36.6,10.6,8.3
France,38.8,30.2,13.8,17.1
Croatia,57.1,22.3,12.6,7.9
Italy,63.6,16.4,8.8,11.2
Cyprus,65.9,22.6,7,4.4
Latvia,50.5,21.7,15.5,12.3
Lithuania,46.9,30.3,12.3,10.4
Luxembourg,26.7,43.7,13.4,16.2
Hungary,48.9,31,11.4,8.7
Malta,54.7,29.4,7.9,8
Netherlands,30.7,33.4,20.6,15.3
Austria,35.9,32.7,14.9,16.5
Poland,43.2,25.8,14,17
Portugal,55.7,31.7,7.6,5
Romania,71.6,20.6,5.5,2.3
Slovenia,39.7,29.4,14,16.8
Slovakia,52.4,30.5,10.3,6.8
Finland,24.7,31.4,18.5,25.5
Sweden,27.2,33.3,17.7,21.8
Norway,30,31.1,17.8,21.1
Switzerland,18.3,34.6,20,27.2
Montenegro,68.4,18.8,7.4,5.5
Serbia,65.6,22,8.8,3.6
Türkiye,70.8,16.2,5.9,7.1
,,,,
Special value,,,,
:,not available,,,
