Data extracted on 09/09/2024 14:35:29 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Tertiary education (levels 5-8),,
Sex,,Males,,
Age class,,16 years or over,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),29.4,34.9,17.1,18.6
Belgium,27.5,29.9,19.7,22.9
Bulgaria,40.8,27.7,17,14.6
Czechia,24.2,35.7,17.8,22.3
Denmark,20.4,43.6,18.1,17.9
Germany,:,:,:,:
Estonia,24.1,40.4,16.7,18.9
Ireland,23.2,32.6,17.1,27.2
Greece,41.3,41.3,11,6.4
Spain,32,39.2,15.6,13.2
France,25.6,32.3,17.5,24.5
Croatia,35.5,32,20.5,12
Italy,35.9,22,18,24
Cyprus,58.5,24.7,10.7,6.2
Latvia,43.4,25.4,16.6,14.6
Lithuania,41.2,36.2,12.5,10.1
Luxembourg,15.5,49.3,15.8,19.5
Hungary,21.2,42.8,19.8,16.3
Malta,35.1,36.1,16,12.8
Netherlands,23.1,38.5,22.5,15.9
Austria,27.3,36.1,17.5,19.1
Poland,26.9,33.2,17.2,22.6
Portugal,34.5,39.9,14.3,11.4
Romania,38.8,39.2,13.4,8.6
Slovenia,31.8,36.2,13.7,18.3
Slovakia,36,39.8,13.6,10.6
Finland,19.8,35.9,18.6,25.7
Sweden,21.1,34.9,21,23
Norway,19.6,37,20.7,22.7
Switzerland,14.5,34.2,22,29.4
Montenegro,40.1,32.2,17.3,10.4
Serbia,43.1,34.3,15.9,6.8
Türkiye,43.1,25.1,13.3,18.4
,,,,
Special value,,,,
:,not available,,,
