Data extracted on 09/09/2024 14:35:25 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,"Less than primary, primary and lower secondary education (levels 0-2)",,
Sex,,Males,,
Age class,,From 65 to 74 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),75.6,15.1,4.2,5.2
Belgium,69,19.2,3.5,8.3
Bulgaria,92.7,6.1,1.2,0
Czechia,69.2,24.5,3.1,3.2
Denmark,52.1,28.2,8.2,11.4
Germany,:,:,:,:
Estonia,61.3,26.4,5.8,6.5
Ireland,67.1,20.9,4.1,7.9
Greece,85.9,11.3,1.4,1.4
Spain,73.8,19,4.3,2.8
France,61.5,21.5,6.2,10.8
Croatia,95.1,3.3,0.3,1.3
Italy,85,8.5,2.2,4.3
Cyprus,88.9,8.9,0.9,1.3
Latvia,76,9.7,9.7,4.6
Lithuania,82.9,17.1,0,0
Luxembourg,65.2,27.8,1.3,5.7
Hungary,92.2,5.8,0.8,1.1
Malta,77.4,14.8,4.6,3.3
Netherlands,59.3,15.2,15.7,9.9
Austria,71.8,19.5,7.5,1.2
Poland,91.4,4.5,2.6,1.5
Portugal,79,17.2,2,1.8
Romania,91.6,6.9,0.9,0.5
Slovenia,81.2,11.4,1.6,5.8
Slovakia,92.4,7.6,0,0
Finland,59.7,21,5.9,13.3
Sweden,57.1,25.6,10.8,6.5
Norway,59.7,25.1,7,8.3
Switzerland,56.1,12.5,10.3,21.1
Montenegro,91.8,8,0,0.1
Serbia,97,2.8,0.2,0
Türkiye,90.3,6.8,1.3,1.6
,,,,
Special value,,,,
:,not available,,,
