Data extracted on 09/09/2024 14:35:28 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,
Sex,,Females,,
Age class,,75 years or over,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),39.7,26.2,14.1,20
Belgium,41.9,23.7,11.4,23
Bulgaria,66.9,18.3,8.6,6.2
Czechia,27.9,29.5,17.5,25.1
Denmark,22.2,34.9,18,24.8
Germany,:,:,:,:
Estonia,35,27.5,11.9,25.7
Ireland,19.9,31.4,18.6,30
Greece,57.1,29.3,8.9,4.7
Spain,36.6,33.8,14.1,15.5
France,26.5,24.2,16.1,33.2
Croatia,54.5,23.8,10.7,11
Italy,54,21.2,11.1,13.7
Cyprus,49.1,32,13.9,5.1
Latvia,51.2,15,14.4,19.4
Lithuania,56.2,25.9,9.7,8.2
Luxembourg,27.7,32.7,15.8,23.8
Hungary,38.9,33.1,14.1,13.9
Malta,39.9,31.1,9.3,19.8
Netherlands,19.3,22.8,26.5,31.4
Austria,30.9,29.1,17,23
Poland,44.6,21.5,13.5,20.4
Portugal,48.4,35.9,7.6,8.1
Romania,71.9,21.7,3.9,2.5
Slovenia,32.3,26.8,12.9,28
Slovakia,51.1,33.5,8.3,7.1
Finland,34.5,21.6,18.5,25.5
Sweden,33.6,16.7,21.4,28.3
Norway,16.9,21.8,14.7,46.6
Switzerland,13.8,26.3,20.8,39.1
Montenegro,81,14.2,3.3,1.5
Serbia,61.8,23,9,6.2
Türkiye,53,24.6,3.6,18.7
,,,,
Special value,,,,
:,not available,,,
