Data extracted on 09/09/2024 14:35:26 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,
Sex,,Total,,
Age class,,From 16 to 64 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),50.8,27.6,10.7,10.9
Belgium,50.1,22.7,13.7,13.6
Bulgaria,64.8,20.1,9,6.1
Czechia,42.1,31.8,12.8,13.3
Denmark,34.7,36.7,14.6,14
Germany,:,:,:,:
Estonia,33.9,38.3,13.8,14
Ireland,41.4,28.1,10.3,20.2
Greece,54.4,34.2,7.2,4.2
Spain,41,40.1,10.6,8.2
France,46.1,28,12.1,13.8
Croatia,62.1,21.4,9.9,6.5
Italy,60.6,18.8,9.4,11.2
Cyprus,74.5,17.8,4.6,3.2
Latvia,59.5,18.7,12,9.8
Lithuania,60.2,24.6,8.9,6.3
Luxembourg,30.6,45.7,9.7,13.9
Hungary,53.5,29.8,9.1,7.6
Malta,50.6,31.3,8.8,9.2
Netherlands,40.9,28.8,15.8,14.5
Austria,40.7,32.8,13.2,13.3
Poland,54,23.6,10.6,11.8
Portugal,52.4,35.5,8.2,3.9
Romania,73.1,18.9,5.8,2.2
Slovenia,47.6,27.5,11.8,13.1
Slovakia,58,27.4,8.9,5.7
Finland,34.2,32.9,15.2,17.6
Sweden,33.1,33.1,14.9,18.9
Norway,36.9,32,14.6,16.6
Switzerland,23.2,36.1,17.4,23.3
Montenegro,68.8,17.6,7.5,6.1
Serbia,67.6,22.2,7.4,2.8
Türkiye,59.9,22.2,8.5,9.4
,,,,
Special value,,,,
:,not available,,,
