Data extracted on 09/09/2024 14:35:27 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,
Sex,,Total,,
Age class,,75 years or over,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),47.2,24.9,12,16
Belgium,43.1,22.8,13.2,20.9
Bulgaria,71.1,16.1,7,5.9
Czechia,39.2,28.3,13.8,18.6
Denmark,32.3,33.3,15.2,19.2
Germany,:,:,:,:
Estonia,38.2,27.3,11.8,22.7
Ireland,29.9,32,13.2,24.9
Greece,61.7,27,7.7,3.6
Spain,40.3,34.1,11.4,14.1
France,37.4,23.7,13.3,25.6
Croatia,65.4,18.6,8.6,7.4
Italy,58.7,19.3,9.5,12.4
Cyprus,55.4,28.9,8.9,6.8
Latvia,53.3,14.6,13.4,18.8
Lithuania,59.8,23.8,8.5,7.9
Luxembourg,29.4,36.2,19,15.4
Hungary,48.7,29.9,10.7,10.7
Malta,35.2,32,11.3,21.5
Netherlands,28.6,24.4,23.3,23.7
Austria,40.9,28.6,14.2,16.3
Poland,53.8,19.5,11,15.8
Portugal,47.3,34.5,10.9,7.4
Romania,79.2,16.5,3,1.3
Slovenia,42,26.5,10.8,20.7
Slovakia,60.7,26.1,7.9,5.2
Finland,38.8,23.3,14.6,23.2
Sweden,33.4,22.6,20.2,23.8
Norway,24.8,27,15.2,33.1
Switzerland,24.5,29.9,17.7,27.9
Montenegro,78.4,16.2,3.1,2.4
Serbia,74.8,14.9,4.5,5.7
Türkiye,58.7,28.8,1.8,10.8
,,,,
Special value,,,,
:,not available,,,
