Data extracted on 09/09/2024 14:35:30 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Tertiary education (levels 5-8),,
Sex,,Females,,
Age class,,From 55 to 64 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),13.9,29.5,21.6,35
Belgium,14.5,25.7,25.5,34.2
Bulgaria,13,39.3,25.7,22
Czechia,7.1,28.5,24.2,40.1
Denmark,9.8,28.1,20.6,41.6
Germany,:,:,:,:
Estonia,11.6,27.9,19.9,40.5
Ireland,8.7,17.3,20.5,53.6
Greece,19.9,50.8,18.9,10.4
Spain,16.3,43.6,19,21.1
France,8.3,22.3,21.2,48.3
Croatia,15.1,33.4,29.6,21.9
Italy,25,18.9,16.5,39.5
Cyprus,29.5,34.4,17.1,19
Latvia,23.9,23.6,24.5,27.9
Lithuania,17.4,34.3,25.1,23.2
Luxembourg,5.3,29.4,22.5,42.8
Hungary,7.1,36.1,28.8,28
Malta,11.6,36.8,20.7,31
Netherlands,9.6,27.8,30.7,32
Austria,7.5,27.1,24.6,40.8
Poland,5.3,20.4,24.1,50.2
Portugal,12.2,53.4,18.6,15.8
Romania,23.7,37.5,23,15.8
Slovenia,8.7,27.7,24.5,39.1
Slovakia,15.3,34.8,23.7,26.2
Finland,16.4,25.6,16.3,41.7
Sweden,13,29.5,22,35.5
Norway,11.8,20.9,25.5,41.8
Switzerland,5.5,20.7,18.7,55.1
Montenegro,25.3,32.8,30.5,11.3
Serbia,16.7,32.4,25.8,25.2
Türkiye,22.8,27.7,23.7,25.8
,,,,
Special value,,,,
:,not available,,,
