Data extracted on 09/09/2024 14:35:23 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,All ISCED 2011 levels,,
Sex,,Males,,
Age class,,From 55 to 64 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),56.8,23.2,9.3,10.8
Belgium,46.4,23.3,12.9,17.4
Bulgaria,74.8,15,5,5.3
Czechia,48,29.5,12,10.5
Denmark,39.1,36.8,12,12.1
Germany,:,:,:,:
Estonia,39.4,36.5,10.9,13.2
Ireland,38.7,26.7,12.1,22.5
Greece,65,24,7.5,3.5
Spain,52.1,29,9.8,9.2
France,50.7,22.1,11.7,15.5
Croatia,77.4,13.7,5.2,3.7
Italy,67.3,14.5,7.7,10.5
Cyprus,73.6,19,4,3.4
Latvia,65.7,15.2,9.6,9.5
Lithuania,71.4,18.8,4.8,5.1
Luxembourg,29.2,43,13.9,13.9
Hungary,57.6,26.5,9.7,6.3
Malta,67.5,18.8,7.2,6.5
Netherlands,42.4,30.6,14.8,12.2
Austria,47.1,28.9,11,12.9
Poland,65.4,19.7,5.9,9
Portugal,69.9,19.5,5.4,5.2
Romania,82.8,12.2,2.6,2.5
Slovenia,55.2,29.6,7.8,7.5
Slovakia,72,18.3,5.4,4.3
Finland,42.3,28.8,11.8,17.1
Sweden,40.8,26.7,14,18.5
Norway,41.8,30,11.1,17.1
Switzerland,28.9,33.9,15.7,21.6
Montenegro,74.6,14.2,5.9,5.4
Serbia,82.1,12.6,3.6,1.6
Türkiye,81.4,11.3,3.2,4.1
,,,,
Special value,,,,
:,not available,,,
