Data extracted on 09/09/2024 14:35:25 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,"Less than primary, primary and lower secondary education (levels 0-2)",,
Sex,,Males,,
Age class,,75 years or over,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),77.2,13.1,5,4.6
Belgium,72.5,14.7,3.6,9.2
Bulgaria,87.9,7.9,3.7,0.5
Czechia,73.8,14.3,7.4,4.5
Denmark,49.5,27.9,12.1,10.5
Germany,:,:,:,:
Estonia,64.6,22.7,6,6.7
Ireland,65.7,18.9,7.1,8.3
Greece,86.5,10.4,1.9,1.2
Spain,77.6,14.7,4.9,2.8
France,58.3,20.3,9.4,12.1
Croatia,94.2,4.8,1,0
Italy,90.3,5.8,2.1,1.8
Cyprus,88.6,8.7,1.3,1.4
Latvia,78.8,10.4,5,5.9
Lithuania,86.8,9.5,1.2,2.5
Luxembourg,36.7,56.7,3.8,2.9
Hungary,83.8,12.2,1.9,2
Malta,72.5,17.9,4.6,5
Netherlands,58.7,17.6,16.5,7.2
Austria,61.8,24.4,12,1.8
Poland,88.3,7.1,2.8,1.7
Portugal,75.9,18.7,2.7,2.6
Romania,94,3.8,1.8,0.3
Slovenia,79.2,15.6,3.3,1.9
Slovakia,94.4,4,1.6,0
Finland,52.5,27.2,9.1,11.2
Sweden,58,23,10.6,8.5
Norway,53.4,31.5,2,13
Switzerland,44.6,24.8,8.4,22.2
Montenegro,96.1,3.1,0.2,0.7
Serbia,96.7,3.3,0,0
Türkiye,92.4,5.9,0.8,1
,,,,
Special value,,,,
:,not available,,,
