Data extracted on 09/09/2024 14:35:23 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,All ISCED 2011 levels,,
Sex,,Females,,
Age class,,From 16 to 44 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),33.6,33.2,16.5,16.7
Belgium,28.5,28.3,22.4,20.8
Bulgaria,47,24.9,16.9,11.3
Czechia,22.3,36.7,20.1,20.9
Denmark,20.9,39.7,20,19.4
Germany,:,:,:,:
Estonia,16.7,40.2,21,22.1
Ireland,23.4,31.7,12.8,32
Greece,38.8,41.4,12.3,7.5
Spain,31.4,44.3,14.2,10.1
France,26,34.4,18.5,21.2
Croatia,32.5,30.3,20.9,16.3
Italy,55.6,18,11.8,14.6
Cyprus,62.1,26,7.7,4.1
Latvia,32.9,28.4,21.4,17.2
Lithuania,26,38,21.4,14.6
Luxembourg,18.1,51.9,13.2,16.7
Hungary,36.5,35.5,16.6,11.4
Malta,40.2,38.5,10.1,11.2
Netherlands,28,32.2,21,18.7
Austria,24.5,35.8,20,19.7
Poland,23.6,28.4,21.6,26.4
Portugal,37.6,43,11.4,8
Romania,52.1,30.5,11.9,5.5
Slovenia,21.2,33.8,19.6,25.4
Slovakia,31.4,38.5,17.8,12.2
Finland,18.3,35.2,21,25.5
Sweden,24.3,38.5,17.8,19.3
Norway,21.8,38,18.9,21.3
Switzerland,12.2,35.7,23.4,28.7
Montenegro,46.2,26.7,17.1,10
Serbia,39.7,36.2,16.7,7.5
Türkiye,53.5,22.2,10.7,13.5
,,,,
Special value,,,,
:,not available,,,
