Data extracted on 09/09/2024 14:35:27 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,
Sex,,Males,,
Age class,,From 25 to 34 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),63.2,23.7,7.1,6
Belgium,63.6,21,10,5.3
Bulgaria,71,17.1,7.1,4.9
Czechia,60.2,26.3,7.1,6.4
Denmark,38.3,39.7,16,6.1
Germany,:,:,:,:
Estonia,36.9,42.3,12.8,8
Ireland,65.8,26.4,4.1,3.7
Greece,63.1,29.5,4.1,3.3
Spain,50.6,37.3,6.9,5.2
France,64.4,19.4,8,8.2
Croatia,78.3,14.6,5.1,2
Italy,70.6,16.4,5.6,7.3
Cyprus,80.4,15.6,1,3
Latvia,67.5,19.9,9,3.6
Lithuania,74,18.8,3.3,3.9
Luxembourg,48.7,34.1,10.2,6.9
Hungary,67,24.5,5.4,3.1
Malta,64.2,23.6,8,4.1
Netherlands,55.7,29.7,10.8,3.8
Austria,50.6,33.2,10.5,5.6
Poland,69.5,20.8,4.9,4.8
Portugal,67.6,25.9,3.9,2.6
Romania,80.7,13.1,4.5,1.7
Slovenia,61.3,25.8,8.3,4.6
Slovakia,77.5,16.2,3.8,2.6
Finland,36.3,33.4,19.2,11.1
Sweden,36.7,34.1,14.5,14.7
Norway,44.1,27.5,15.8,12.6
Switzerland,25.4,40.1,16.9,17.5
Montenegro,79.3,10.2,3,7.5
Serbia,80.2,13,6.3,0.5
Türkiye,72.2,17.6,5,5.2
,,,,
Special value,,,,
:,not available,,,
