Data extracted on 09/09/2024 14:35:23 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,All ISCED 2011 levels,,
Sex,,Males,,
Age class,,75 years or over,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),61.1,19.6,8.8,10.5
Belgium,48.7,18.6,12,20.7
Bulgaria,76.6,12.4,5.6,5.4
Czechia,48.6,26.8,10.7,13.9
Denmark,36.5,33.8,13,16.7
Germany,:,:,:,:
Estonia,45.6,24.8,11.6,18.1
Ireland,50.3,23.1,7.5,19.2
Greece,74.7,17.9,4.5,2.8
Spain,66.4,19.8,7.5,6.3
France,48.4,22.4,10.6,18.6
Croatia,75.3,14.4,6.7,3.6
Italy,80.4,9.6,4.3,5.7
Cyprus,72,18.2,3.4,6.4
Latvia,58.9,17.1,9.4,14.6
Lithuania,65.9,17.3,6.8,9.9
Luxembourg,24.9,45,14.2,15.9
Hungary,56.6,25,9.7,8.7
Malta,61.5,22.1,6.4,10
Netherlands,39.4,24.2,21.6,14.8
Austria,46.5,30.1,12.7,10.6
Poland,65.8,14.2,8.4,11.6
Portugal,69.7,21.2,4.4,4.7
Romania,86.2,9.6,3.2,1
Slovenia,49.3,26.8,10.3,13.6
Slovakia,72.1,17.3,7.5,3.2
Finland,43.7,30.3,10.1,15.9
Sweden,41.1,25.2,16.8,16.8
Norway,34.2,34.7,13.6,17.4
Switzerland,29.5,32.2,13.7,24.6
Montenegro,75.6,15.3,5.6,3.5
Serbia,81.6,11.3,2.5,4.5
Türkiye,86.7,8.8,1.9,2.5
,,,,
Special value,,,,
:,not available,,,
