Data extracted on 09/09/2024 14:35:28 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,
Sex,,Males,,
Age class,,From 75 to 84 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),54.4,24.7,9.6,11.4
Belgium,41.9,23.5,15.6,19
Bulgaria,77.6,12.6,4.2,5.5
Czechia,52.5,26.8,9.7,11
Denmark,43.5,29.9,12.4,14.1
Germany,:,:,:,:
Estonia,44.2,26.6,13.9,15.4
Ireland,39.7,32.7,6.9,20.7
Greece,67.7,25.2,4.7,2.4
Spain,42.2,38.1,7.4,12.3
France,47,25.4,10.5,17.1
Croatia,75.2,14.5,6.5,3.9
Italy,62.5,17.6,8.7,11.2
Cyprus,61.1,28.1,4.1,6.7
Latvia,59.2,12.5,10.3,17.9
Lithuania,70,19.3,6.2,4.5
Luxembourg,30,36.6,22.6,10.9
Hungary,62.7,25.5,6.1,5.7
Malta,25.7,37.2,17.1,20
Netherlands,37.1,27.1,18.8,17
Austria,48.6,30.6,11.9,9
Poland,67.1,17.3,6.5,9.2
Portugal,47.8,31.7,13.7,6.7
Romania,84.6,12.6,2.5,0.3
Slovenia,54.1,25.4,8.5,12.1
Slovakia,70,17.7,9,3.3
Finland,49.3,28.1,7.9,14.7
Sweden,28.9,32.4,18.5,20.3
Norway,30.8,35.5,16.8,16.9
Switzerland,37.9,33.5,14.4,14.2
Montenegro,74.4,18.9,3.3,3.4
Serbia,87,7.1,0.8,5
Türkiye,64.4,31.9,0,3.7
,,,,
Special value,,,,
:,not available,,,
