Data extracted on 09/09/2024 14:35:25 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,"Less than primary, primary and lower secondary education (levels 0-2)",,
Sex,,Females,,
Age class,,From 16 to 64 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),58.5,24.2,8.9,8.4
Belgium,52.2,21.3,13.2,13.3
Bulgaria,88,7.4,3,1.6
Czechia,34.3,29,18.9,17.8
Denmark,35.7,35.8,13,15.6
Germany,:,:,:,:
Estonia,33.7,30.3,14.8,21.2
Ireland,40.6,23.9,8.1,27.4
Greece,64.3,27.3,5,3.4
Spain,54.1,33.1,7.6,5.3
France,46.4,30.6,11.3,11.7
Croatia,61.6,18.7,11.9,7.7
Italy,74.7,13.4,5.8,6.1
Cyprus,80.1,12.9,5,1.9
Latvia,51.3,21.3,16.7,10.7
Lithuania,36.7,26.1,25.6,11.6
Luxembourg,38.3,39.9,8.2,13.6
Hungary,65.9,20.3,9.1,4.7
Malta,64.7,25.4,4.5,5.4
Netherlands,45,23.5,14.7,16.8
Austria,45.6,33.7,11.8,8.9
Poland,41.3,19.8,18.1,20.8
Portugal,68.5,23.9,4.8,2.8
Romania,78.9,12.4,5.7,3.1
Slovenia,48,25.7,12.4,13.9
Slovakia,57,20.8,13,9.3
Finland,26.4,33.4,20.5,19.7
Sweden,34.8,35.8,13.7,15.6
Norway,32.4,33.1,12.8,21.7
Switzerland,24.8,36.3,20.3,18.6
Montenegro,67.4,19.6,5.5,7.6
Serbia,73.8,16.9,8.1,1.2
Türkiye,79.9,13.5,3.1,3.5
,,,,
Special value,,,,
:,not available,,,
