Data extracted on 09/09/2024 14:35:22 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,All ISCED 2011 levels,,
Sex,,Total,,
Age class,,From 25 to 29 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),42.8,31,13.6,12.6
Belgium,40.1,25.3,20.4,14.3
Bulgaria,54.7,20.3,15.9,9.2
Czechia,36.5,33,14.1,16.4
Denmark,23.2,46.2,18.8,11.8
Germany,:,:,:,:
Estonia,23.2,40.1,20.7,15.9
Ireland,37.4,24.8,10.2,27.7
Greece,43.2,38.4,11.8,6.6
Spain,38.9,40.6,11.9,8.6
France,38.5,32.2,14.9,14.4
Croatia,47.1,26.8,14.4,11.7
Italy,59.3,16.1,11.1,13.5
Cyprus,66.7,21.6,8,3.7
Latvia,50.8,24.8,13.2,11.1
Lithuania,43.4,34.9,13.2,8.4
Luxembourg,19.9,61.5,8.2,10.5
Hungary,49.9,30.7,11.4,8
Malta,53.5,28.6,10.5,7.4
Netherlands,31,36.7,16.5,15.8
Austria,30.8,37.1,17.8,14.4
Poland,38.7,27.8,16.5,17
Portugal,46.7,36.7,8.9,7.7
Romania,66.4,22.7,7.2,3.7
Slovenia,34.2,36.1,12.1,17.6
Slovakia,51,27.3,13,8.7
Finland,28.2,35.8,18.9,17.1
Sweden,30.7,38.9,17.7,12.7
Norway,24.2,41.4,17.9,16.6
Switzerland,14,37.7,22.5,25.9
Montenegro,54.3,23.5,13.1,9.2
Serbia,50.3,26.8,16.7,6.3
Türkiye,58.2,20,9.6,12.2
,,,,
Special value,,,,
:,not available,,,
