Data extracted on 09/09/2024 14:35:28 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,
Sex,,Females,,
Age class,,16 years or over,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),38.9,30.9,13.9,16.3
Belgium,37,25.4,16.9,20.6
Bulgaria,56.2,24.3,11.9,7.6
Czechia,23.6,36.9,18.1,21.5
Denmark,25.2,35.8,16.8,22.2
Germany,:,:,:,:
Estonia,25.3,36.2,16.9,21.5
Ireland,25.5,32,12.7,29.9
Greece,45.6,40.2,8.9,5.4
Spain,32.5,43.2,13,11.4
France,31.4,30.7,16.2,21.7
Croatia,46.9,29,13.9,10.1
Italy,53.2,20.4,11.6,14.8
Cyprus,62.1,25.1,7.9,4.9
Latvia,45.7,21.9,16.3,16.1
Lithuania,45.9,31,13.9,9.2
Luxembourg,19.3,45.9,12.3,22.4
Hungary,41,34.5,12.8,11.7
Malta,37.7,38.7,11.2,12.4
Netherlands,28.4,28,20.3,23.3
Austria,25.9,35.9,18.1,20
Poland,38.9,27.1,14.8,19.1
Portugal,40.8,43.7,10.6,4.9
Romania,65.6,24.7,7.1,2.7
Slovenia,31.1,28.8,16.4,23.7
Slovakia,38.2,39.1,13.7,9
Finland,26.1,32.6,16.6,24.7
Sweden,26.3,31,16.4,26.3
Norway,22.1,30.5,17.5,29.9
Switzerland,15.4,32.4,19.3,32.9
Montenegro,61.6,21.2,10.2,7
Serbia,52.9,31.3,10.2,5.5
Türkiye,47.7,27.1,12.1,13.1
,,,,
Special value,,,,
:,not available,,,
