Data extracted on 09/09/2024 14:35:28 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,
Sex,,Females,,
Age class,,From 16 to 64 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),39.5,31.9,13.8,14.9
Belgium,37.8,26,17.8,18.4
Bulgaria,54.2,25,12.8,8
Czechia,24.1,38.8,17.8,19.3
Denmark,26.7,37.3,16.4,19.7
Germany,:,:,:,:
Estonia,24,39.4,17.5,19.2
Ireland,27.1,32,12,28.8
Greece,44.4,41.1,9.1,5.4
Spain,33,44.4,12.4,10.1
France,33.4,32.2,16.1,18.3
Croatia,45.8,29.3,14.6,10.3
Italy,54,20.3,11.6,14.1
Cyprus,65.1,23.9,6.7,4.3
Latvia,45.7,23.4,16.9,14.1
Lithuania,44.6,31.5,14.8,9.1
Luxembourg,20.5,48.7,11.2,19.6
Hungary,42,35.6,11.9,10.5
Malta,38.1,39.3,11.4,11.2
Netherlands,31.3,28.8,18.7,21.2
Austria,25.6,36.7,17.9,19.8
Poland,38.2,28.3,15.3,18.3
Portugal,41.3,43.7,10.6,4.4
Romania,63.8,25.6,7.6,2.9
Slovenia,30.3,28.7,17.2,23.7
Slovakia,36.5,40.2,14.1,9.2
Finland,25,34.4,16.9,23.8
Sweden,27,35.2,14.8,22.9
Norway,24.4,35.4,17.3,22.9
Switzerland,16.3,35.2,19.2,29.3
Montenegro,59.8,21.9,10.9,7.4
Serbia,51.8,32.3,10.8,5.1
Türkiye,47.3,27.4,12.3,13
,,,,
Special value,,,,
:,not available,,,
