Data extracted on 09/09/2024 14:35:23 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,All ISCED 2011 levels,,
Sex,,Females,,
Age class,,From 30 to 54 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),36.9,31.6,14.9,16.7
Belgium,31.1,26,21.1,21.9
Bulgaria,52,23.2,14.4,10.4
Czechia,22.4,38,19.6,19.9
Denmark,20.7,34.1,19.1,26.1
Germany,:,:,:,:
Estonia,18.3,39.1,20.5,22.1
Ireland,22.6,30.5,13.4,33.4
Greece,44.7,39.3,10.7,5.4
Spain,35.4,42.1,12.4,10.2
France,28.4,32.7,17.4,21.5
Croatia,43.2,27.8,17.3,11.8
Italy,57.2,18.1,10,14.7
Cyprus,57.9,28,8.3,5.8
Latvia,35.6,26.7,21.2,16.5
Lithuania,33.1,35,16.7,15.2
Luxembourg,19.6,44.4,16,20.1
Hungary,38.8,35,14.8,11.4
Malta,43.9,36.6,8.9,10.6
Netherlands,24.2,31.9,23.1,20.8
Austria,27.5,33,17.9,21.6
Poland,28.7,28.5,18.8,24.1
Portugal,44.6,39.5,9.4,6.5
Romania,63.7,26.4,7,2.9
Slovenia,25.9,30.5,17.9,25.7
Slovakia,34.9,39.8,15.1,10.2
Finland,16.8,30.2,20.9,32.1
Sweden,23.3,32.2,19.1,25.5
Norway,21.8,30.7,20.1,27.4
Switzerland,13.5,32.7,21,32.8
Montenegro,59.7,23.4,10.4,6.6
Serbia,52.2,29.2,12.6,5.9
Türkiye,66.1,18.8,7.1,8
,,,,
Special value,,,,
:,not available,,,
