Data extracted on 09/09/2024 14:35:31 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Tertiary education (levels 5-8),,
Sex,,Females,,
Age class,,75 years or over,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),20.7,24.3,19.2,35.9
Belgium,27.4,13.4,14.6,44.6
Bulgaria,39.4,21.8,16.6,22.2
Czechia,13.5,24.9,26.9,34.6
Denmark,11.6,22,20.4,46
Germany,:,:,:,:
Estonia,21.2,26.8,18,34
Ireland,11,26.1,20.9,41.9
Greece,38.9,30.6,19.9,10.7
Spain,21.7,36.3,12.3,29.7
France,9.2,19.2,20.2,51.3
Croatia,30.2,29.7,23.9,16.2
Italy,39,12.8,15.9,32.2
Cyprus,22.9,35.2,9.4,32.6
Latvia,26.7,20.6,21.2,31.5
Lithuania,34.5,28.8,16.8,19.9
Luxembourg,2.4,55.2,11.1,31.4
Hungary,22.6,26.1,25.2,26
Malta,15.6,24.2,13.8,46.4
Netherlands,16.1,17.9,24.9,41.2
Austria,5.9,29.7,29.1,35.3
Poland,15.4,19.7,20.3,44.6
Portugal,24.8,40,18.4,16.8
Romania,47.2,31.5,12.6,8.7
Slovenia,13,21.6,29.6,35.8
Slovakia,19.1,37.3,14.1,29.5
Finland,12.1,34.3,16.8,36.8
Sweden,9.4,25.9,20.6,44.1
Norway,13.5,15,22,49.5
Switzerland,4.9,25.3,26,43.9
Montenegro,55.2,19.6,16.8,8.4
Serbia,36,27.1,20.9,16
Türkiye,31.5,29.3,30.3,8.8
,,,,
Special value,,,,
:,not available,,,
