Data extracted on 09/09/2024 14:35:25 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,"Less than primary, primary and lower secondary education (levels 0-2)",,
Sex,,Males,,
Age class,,16 years or over,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),73.6,16.7,5.3,4.4
Belgium,67.8,17.7,7.5,7
Bulgaria,90.8,5.8,2.3,1.1
Czechia,54.8,26.2,10.2,8.8
Denmark,54.3,28.3,7.6,9.9
Germany,:,:,:,:
Estonia,54.3,27,10.4,8.3
Ireland,61.8,21.3,6.7,10.2
Greece,82.9,13.5,2.1,1.5
Spain,72.7,19.8,4.7,2.8
France,62.9,21.4,7.3,8.4
Croatia,81.2,9.8,6.8,2.3
Italy,84.4,9.4,3.1,3
Cyprus,90.2,8.3,0.6,0.9
Latvia,74,15.2,7.2,3.6
Lithuania,67.2,17.8,12.1,2.8
Luxembourg,59.3,32.1,4.4,4.2
Hungary,77.9,15.4,5.2,1.5
Malta,80.6,13.9,3.2,2.3
Netherlands,60.7,20.4,12.8,6.1
Austria,57.7,31.3,8.2,2.8
Poland,69.9,14.2,9.1,6.8
Portugal,80.9,15.6,2.1,1.3
Romania,84.5,10,4,1.6
Slovenia,70.3,18.6,6.5,4.6
Slovakia,74.2,18.4,3.5,3.8
Finland,52.2,28.8,9.6,9.4
Sweden,49.4,30.4,10.5,9.7
Norway,46.4,34.1,9.7,9.8
Switzerland,38.1,32.1,16,13.8
Montenegro,75.4,13.9,8.1,2.6
Serbia,86.9,8.2,4.5,0.5
Türkiye,87.5,8.7,2.1,1.7
,,,,
Special value,,,,
:,not available,,,
