Data extracted on 09/09/2024 14:35:25 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,"Less than primary, primary and lower secondary education (levels 0-2)",,
Sex,,Males,,
Age class,,From 20 to 64 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),79.1,14.2,3.6,3.1
Belgium,72.4,15.4,6.8,5.4
Bulgaria,96.6,2.1,0.5,0.8
Czechia,71,17.1,2.7,9.1
Denmark,57.8,26.8,7.5,7.8
Germany,:,:,:,:
Estonia,62.9,24.1,6.9,6.1
Ireland,67.3,18.5,6,8.2
Greece,84.4,12.4,2.1,1.1
Spain,75.9,18.5,3.2,2.4
France,73.2,17.5,4.6,4.7
Croatia,95.9,2.8,1.2,0.1
Italy,85.9,8.6,3.1,2.4
Cyprus,92.1,7.1,0.4,0.4
Latvia,88.4,6,2.3,3.3
Lithuania,87.2,8.9,2.7,1.2
Luxembourg,69.8,22.3,3.9,4.1
Hungary,87.7,10.5,1.3,0.5
Malta,83,13,2.6,1.3
Netherlands,63.8,20.5,10.1,5.6
Austria,67.1,24.7,4.4,3.7
Poland,84.4,9.2,2.7,3.7
Portugal,86.4,11.4,1.6,0.6
Romania,96.2,3.7,0.1,0
Slovenia,76.3,17.1,4.6,2
Slovakia,95,3.8,0.8,0.4
Finland,53.8,27.4,10.7,8.1
Sweden,47.7,30.1,10.6,11.7
Norway,49,30.4,10.2,10.4
Switzerland,42.8,33.5,12.3,11.3
Montenegro,96.4,2.4,0.7,0.5
Serbia,97.7,1.8,0.1,0.5
Türkiye,91,6.8,1.2,0.9
,,,,
Special value,,,,
:,not available,,,
