Data extracted on 09/09/2024 14:35:22 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,All ISCED 2011 levels,,
Sex,,Total,,
Age class,,From 25 to 34 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),43.3,31.3,13,12.4
Belgium,39.1,28.1,19,13.8
Bulgaria,60.3,19.7,12.1,7.9
Czechia,37.2,33.2,14.5,15
Denmark,23.7,43,18.2,15.1
Germany,:,:,:,:
Estonia,26.4,41.9,17.3,14.4
Ireland,33.8,28.7,13.3,24.2
Greece,47.4,37.6,9.6,5.4
Spain,39.4,41.4,11.2,8
France,39,32.8,13.5,14.8
Croatia,51.1,25.8,12.9,10.3
Italy,60.7,17,9.2,13.1
Cyprus,65.8,24.2,6.7,3.2
Latvia,48.7,24.1,15.3,11.9
Lithuania,44.1,34.7,12.3,8.9
Luxembourg,23.9,52.6,12.4,11.2
Hungary,49.3,31.3,11.6,7.8
Malta,52.6,31,8.9,7.6
Netherlands,28.9,37.8,19.2,14.2
Austria,32,36.6,16.2,15.1
Poland,38.5,27.3,16.9,17.3
Portugal,49.3,35.9,7.7,7.1
Romania,68.5,22.1,6.8,2.6
Slovenia,37.9,33,13,16.1
Slovakia,51.6,28,12.6,7.7
Finland,24.5,35.4,19.1,21
Sweden,28.1,37.1,17.8,17
Norway,28.4,35.7,17.7,18.1
Switzerland,14.2,39,21.2,25.6
Montenegro,58,22.4,11.6,8.1
Serbia,55.1,26.3,13.8,4.7
Türkiye,60.6,19.2,8.9,11.4
,,,,
Special value,,,,
:,not available,,,
