Data extracted on 09/09/2024 14:35:21 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,All ISCED 2011 levels,,
Sex,,Total,,
Age class,,From 16 to 24 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),38,32.2,15.9,14
Belgium,37.1,27.9,18.1,16.8
Bulgaria,46.6,26,18.1,9.3
Czechia,29.6,30.5,20.3,19.5
Denmark,30.4,41.5,17.1,11.1
Germany,:,:,:,:
Estonia,20.7,40.4,19.2,19.8
Ireland,33.8,30.4,11.4,24.5
Greece,40.7,41.5,9.8,7.9
Spain,33.3,42,15,9.6
France,33.3,32,16.8,17.9
Croatia,30.8,28.1,24.1,17
Italy,53.5,21.4,12.2,12.9
Cyprus,74.8,17,5.4,2.8
Latvia,41.3,27,19.5,12.1
Lithuania,30.3,34.9,25.9,8.9
Luxembourg,27.4,47.5,10.2,14.9
Hungary,38.1,32.6,17.2,12.1
Malta,49.5,31.2,7.9,11.4
Netherlands,42.4,27.6,16.7,13.3
Austria,35,37.6,15.5,11.9
Poland,25.5,26.1,23.1,25.3
Portugal,45.2,38.6,11.8,4.4
Romania,37.3,32.7,20,10.1
Slovenia,33.9,29.9,17.6,18.6
Slovakia,38,32.9,15.7,13.4
Finland,28,43.2,17.9,11
Sweden,30.3,42.1,14.2,13.4
Norway,28.5,44.7,15.9,11
Switzerland,19.6,36,23,21.3
Montenegro,37.8,30.6,20.8,10.9
Serbia,38.3,37.6,19,5.1
Türkiye,50.1,23.9,12,14.1
,,,,
Special value,,,,
:,not available,,,
