Data extracted on 09/09/2024 14:35:24 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,"Less than primary, primary and lower secondary education (levels 0-2)",,
Sex,,Total,,
Age class,,From 25 to 34 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),73.7,17.9,4.5,3.9
Belgium,68.8,20.9,7.3,3
Bulgaria,96,2.6,0.7,0.7
Czechia,63.2,19.5,6.5,10.7
Denmark,39.2,31,14.1,15.7
Germany,:,:,:,:
Estonia,51.2,30.7,5.6,12.4
Ireland,68.3,14.8,4.3,12.5
Greece,82,16.4,0.8,0.8
Spain,69.8,23.4,3.8,3.1
France,67.4,23.5,4.6,4.4
Croatia,93.7,3.6,0,2.7
Italy,82.7,11.3,3,3
Cyprus,89.4,4.7,4.4,1.5
Latvia,86,6,4.6,3.4
Lithuania,72.7,14.8,3.3,9.1
Luxembourg,49.4,46.3,3.4,1
Hungary,85.7,8.9,4.7,0.7
Malta,81.9,14.4,2.9,0.8
Netherlands,48.2,22.7,13.8,15.3
Austria,52.3,35.5,6.8,5.4
Poland,84.5,10.5,3.9,1.1
Portugal,81.4,17,0.4,1.2
Romania,96.8,2,1,0.1
Slovenia,67,18.4,14.1,0.5
Slovakia,86,9.7,0,4.3
Finland,31.8,37.1,15.1,15.9
Sweden,36.2,35.5,16.3,11.9
Norway,42.6,34,7.2,16.2
Switzerland,29.3,49,15.7,5.9
Montenegro,95.3,3.1,0,1.6
Serbia,96.7,1.8,0,1.5
Türkiye,86.1,10.1,1.8,2
,,,,
Special value,,,,
:,not available,,,
