Data extracted on 09/09/2024 14:35:23 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,All ISCED 2011 levels,,
Sex,,Females,,
Age class,,From 16 to 64 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),35.8,31.3,15.5,17.5
Belgium,29.7,25.9,21.7,22.7
Bulgaria,50.5,24.3,15.2,10.1
Czechia,21.7,36.4,20,21.9
Denmark,20.5,36.4,19.3,23.7
Germany,:,:,:,:
Estonia,18.2,37.1,20.4,24.2
Ireland,22.8,29.4,13.3,34.6
Greece,42.4,40,11.3,6.3
Spain,33.8,41.9,13.3,11
France,27.7,31.7,17.6,23.1
Croatia,40.6,28.7,17.4,13.3
Italy,55.4,18.2,11.2,15.3
Cyprus,59.2,26.7,8.6,5.4
Latvia,35.5,26.2,20.7,17.6
Lithuania,31.1,34.5,19.7,14.7
Luxembourg,19.1,44.9,15.1,20.8
Hungary,38,34.4,15.2,12.4
Malta,44,35.3,9.6,11.1
Netherlands,25.8,30.2,22.2,21.8
Austria,25.1,34.5,18.7,21.7
Poland,28.3,27.7,19.2,24.8
Portugal,43.9,38.7,10.5,6.9
Romania,59.8,26.7,9.1,4.4
Slovenia,25.6,30.2,18.4,25.9
Slovakia,33.4,38.7,16.4,11.5
Finland,19.3,32,20,28.7
Sweden,23.6,34.9,17.9,23.5
Norway,21.7,33.4,19.7,25.2
Switzerland,13.3,32.2,21.1,33.4
Montenegro,54.4,24.1,13.2,8.3
Serbia,47.9,30.8,14.2,7.2
Türkiye,61.8,19.6,8.5,10.1
,,,,
Special value,,,,
:,not available,,,
