Data extracted on 09/09/2024 14:35:27 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,
Sex,,Males,,
Age class,,From 45 to 54 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),65.4,21.3,7.1,6.2
Belgium,65.3,17,10.5,7.1
Bulgaria,79.8,13.4,3.8,3
Czechia,60.4,24.9,6.2,8.5
Denmark,42.2,34.1,14.3,9.4
Germany,:,:,:,:
Estonia,41.9,34.8,12.6,10.7
Ireland,57.3,21.4,10.1,11.2
Greece,68.3,24.3,4.3,3.1
Spain,51.8,32.4,10.2,5.7
France,63,22.5,7,7.5
Croatia,82.1,12.6,3.4,1.9
Italy,68,17.1,8.1,6.8
Cyprus,87.9,8,2.3,1.8
Latvia,74.5,13,5.6,6.8
Lithuania,75,16.4,4.6,3.9
Luxembourg,45.1,35.7,6.9,12.2
Hungary,66.3,23.5,5.9,4.2
Malta,56.2,27.4,10.3,6.1
Netherlands,58.5,23.8,9.1,8.6
Austria,55.3,29.6,8,7.1
Poland,71.2,17.1,6.4,5.4
Portugal,66.3,26.9,5.5,1.3
Romania,90,8,1.7,0.4
Slovenia,63.8,24.1,7,5.1
Slovakia,78.7,14.8,4.5,2.1
Finland,42.3,28.2,11.6,17.9
Sweden,33.9,36.4,13.9,15.9
Norway,48.2,28.3,11.2,12.3
Switzerland,32,37.4,12.6,18
Montenegro,84,11.3,2.1,2.5
Serbia,85.4,11.3,2.3,1
Türkiye,78.3,16.1,2.2,3.4
,,,,
Special value,,,,
:,not available,,,
