Data extracted on 09/09/2024 14:35:24 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,All ISCED 2011 levels,,
Sex,,Females,,
Age class,,65 years or over,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),49,22.4,11.5,17.2
Belgium,41.2,19.6,13.3,26
Bulgaria,63.8,18.1,8.9,9.2
Czechia,25.2,31.1,18.5,25.1
Denmark,19.3,31.5,17.3,31.9
Germany,:,:,:,:
Estonia,28.2,28.5,14.9,28.4
Ireland,27.6,27.1,12.8,32.4
Greece,69.2,21.7,5.6,3.5
Spain,53.8,27.2,8.5,10.4
France,33.4,24.4,14.2,28.1
Croatia,63.2,20.5,9,7.2
Italy,71.1,12.6,6.6,9.7
Cyprus,61,22.3,10,6.7
Latvia,44.6,19.3,15.9,20.2
Lithuania,48.4,26.2,12.7,12.7
Luxembourg,16.7,32.3,19.8,31.2
Hungary,44.4,27.3,14,14.3
Malta,56.1,23.8,8.1,12
Netherlands,26.5,20.8,24.3,28.3
Austria,36.4,28.8,15.6,19.2
Poland,46.2,20.6,12.5,20.7
Portugal,65.7,23.8,6.4,4.1
Romania,80.9,14,3.8,1.3
Slovenia,37.8,25.3,13.4,23.4
Slovakia,48.9,31.2,11.2,8.7
Finland,31.6,26,12.8,29.5
Sweden,26.6,19.2,19.5,34.7
Norway,20.1,21.1,18.7,40
Switzerland,16.2,24.8,18.2,40.7
Montenegro,81.7,10.4,4.6,3.3
Serbia,70.1,16.9,7.2,5.9
Türkiye,88.5,7.8,1.7,2
,,,,
Special value,,,,
:,not available,,,
