Data extracted on 09/09/2024 14:35:24 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,"Less than primary, primary and lower secondary education (levels 0-2)",,
Sex,,Total,,
Age class,,From 45 to 64 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),72.7,17.8,4.9,4.6
Belgium,64,17.1,8.8,10.1
Bulgaria,95,3.2,1,0.8
Czechia,61.3,22,8.5,8.1
Denmark,51.4,27.1,10.1,11.4
Germany,:,:,:,:
Estonia,62.7,25.7,5.4,6.2
Ireland,57.3,21.4,7.2,14.1
Greece,76.3,18.7,3.4,1.6
Spain,67.8,24.4,4.3,3.5
France,63.1,23.7,6.7,6.6
Croatia,87.8,9.4,2.3,0.6
Italy,81.9,10.4,4.2,3.6
Cyprus,84.4,11.4,2.6,1.6
Latvia,80.2,12.8,2.4,4.7
Lithuania,72.7,12.8,12.4,2
Luxembourg,53.8,31.3,8.2,6.7
Hungary,82.7,13.1,2.6,1.6
Malta,72.6,19.7,4,3.6
Netherlands,53.1,21.7,13.2,12
Austria,63.1,25.3,6.3,5.3
Poland,76.2,14.1,3.6,6
Portugal,80,16,2.7,1.3
Romania,94.2,5.4,0.3,0.1
Slovenia,73,17.3,4.4,5.3
Slovakia,90.7,4.9,3.1,1.2
Finland,50.2,26,10.1,13.7
Sweden,46.8,30.6,9.1,13.5
Norway,46.2,23.5,10,20.3
Switzerland,49.1,35.2,9.1,6.6
Montenegro,93,5.8,0.3,0.8
Serbia,94.6,4.5,0.6,0.3
Türkiye,88.9,9,1.2,0.9
,,,,
Special value,,,,
:,not available,,,
