Data extracted on 09/09/2024 14:35:25 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,"Less than primary, primary and lower secondary education (levels 0-2)",,
Sex,,Males,,
Age class,,From 25 to 29 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),:,:,:,:
Belgium,69.6,18.8,3.6,8
Bulgaria,98.9,0,0,1.1
Czechia,:,:,:,:
Denmark,:,:,:,:
Germany,:,:,:,:
Estonia,68.2,19.6,3.7,8.5
Ireland,:,:,:,:
Greece,96.3,0,3.7,0
Spain,74.8,21.3,1.3,2.6
France,75.1,20.8,1.7,2.4
Croatia,:,:,:,:
Italy,85.8,11.1,0.3,2.8
Cyprus,89.8,10.2,0,0
Latvia,:,:,:,:
Lithuania,:,:,:,:
Luxembourg,:,:,:,:
Hungary,84.3,10.5,5.2,0
Malta,93.2,6.8,0,0
Netherlands,:,:,:,:
Austria,:,:,:,:
Poland,88.3,3.8,7.5,0.5
Portugal,79,17.7,1.4,1.9
Romania,99.3,0.7,0,0
Slovenia,:,:,:,:
Slovakia,95.5,2.9,0,1.7
Finland,:,:,:,:
Sweden,41.8,35.9,12.8,9.5
Norway,25.1,44.4,14.4,16.2
Switzerland,:,:,:,:
Montenegro,:,:,:,:
Serbia,100,0,0,0
Türkiye,88,8.6,1.7,1.7
,,,,
Special value,,,,
:,not available,,,
