Data extracted on 09/09/2024 14:35:23 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,All ISCED 2011 levels,,
Sex,,Males,,
Age class,,From 65 to 74 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),55.5,22,9.8,12.7
Belgium,43.2,22,12.4,22.4
Bulgaria,70,16,7.9,6.1
Czechia,44,32.5,9.7,13.7
Denmark,33.6,32.9,16.4,17.1
Germany,:,:,:,:
Estonia,40.4,28.7,14,16.9
Ireland,44.5,22.3,11.3,21.9
Greece,67.5,23.1,5.3,4
Spain,53.9,26.8,9.5,9.7
France,45,24.2,10.9,19.9
Croatia,75.1,15.4,5.3,4.2
Italy,69.3,12,7.7,11.1
Cyprus,73.4,16.1,6.6,3.9
Latvia,59.1,17.2,12.6,11.2
Lithuania,59.6,24.8,7.6,7.9
Luxembourg,23.2,37.8,16.5,22.5
Hungary,55.9,25.7,7.9,10.4
Malta,68.1,16.9,7.2,7.8
Netherlands,35.8,23.4,22.5,18.3
Austria,44.8,29,11,15.2
Poland,65.8,16.3,7.9,9.9
Portugal,67.7,22.3,5,5
Romania,78.4,16.6,3.2,1.8
Slovenia,53.4,26.4,7.8,12.4
Slovakia,66.8,19.3,9.1,4.8
Finland,43.7,26.7,10.9,18.6
Sweden,42.4,25.7,14.7,17.3
Norway,38.2,29.9,14.5,17.4
Switzerland,26.4,28.8,18.3,26.5
Montenegro,76,14.9,3.9,5.2
Serbia,80.1,13.3,3.7,3
Türkiye,80.6,11.5,3.2,4.7
,,,,
Special value,,,,
:,not available,,,
