Data extracted on 09/09/2024 14:35:28 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,
Sex,,Females,,
Age class,,From 16 to 24 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),27.5,34.2,19.9,18.3
Belgium,25.1,31.3,22.6,21
Bulgaria,30.3,30,26.2,13.5
Czechia,16.6,31.4,22.8,29.1
Denmark,20.5,46.9,19.8,12.9
Germany,:,:,:,:
Estonia,11.4,45.3,21.6,21.7
Ireland,24.3,41,13.5,21.2
Greece,30.7,44.4,14.8,10.1
Spain,21.5,46.4,18.4,13.6
France,23.9,33,22.4,20.7
Croatia,22.3,32.1,23.8,21.9
Italy,42.5,19.9,18.9,18.7
Cyprus,69,22.4,4.8,3.9
Latvia,26.7,27.7,24.8,20.7
Lithuania,17.1,35,34.8,13.1
Luxembourg,19.5,51.9,10.2,18.5
Hungary,26.8,37.3,21,14.8
Malta,30.3,42.7,11.4,15.6
Netherlands,40,26,18.7,15.3
Austria,18.8,38,23.5,19.8
Poland,15.4,26.1,21.3,37.2
Portugal,32.6,47,15.3,5.1
Romania,25.2,35.8,25.8,13.2
Slovenia,15,28.9,29.8,26.2
Slovakia,27,36.4,17.7,18.9
Finland,19.6,46,19.7,14.6
Sweden,23.2,45.8,14.2,16.9
Norway,26.8,52.6,10.9,9.6
Switzerland,15.9,36.7,23.9,23.5
Montenegro,31.4,26.4,29.2,12.9
Serbia,26,45.2,18.3,10.5
Türkiye,34.4,29.4,16.7,19.6
,,,,
Special value,,,,
:,not available,,,
