Data extracted on 09/09/2024 14:35:25 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,"Less than primary, primary and lower secondary education (levels 0-2)",,
Sex,,Males,,
Age class,,From 35 to 44 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),81.3,12.8,3.2,2.7
Belgium,75.3,10.8,12.8,1.1
Bulgaria,95.6,2.4,0.3,1.7
Czechia,77.8,14.9,0,7.3
Denmark,72.6,13.3,3.4,10.7
Germany,:,:,:,:
Estonia,64.8,20.7,9.5,5
Ireland,77,19.4,3.6,0
Greece,86.6,9.7,2.8,0.9
Spain,76.1,18.8,3.5,1.6
France,71.4,18.7,4.7,5.2
Croatia,95.1,0.5,4.4,0
Italy,92.1,4.3,1.8,1.8
Cyprus,95.2,4.8,0,0
Latvia,91,2.9,3.5,2.6
Lithuania,96.2,1.9,0.7,1.2
Luxembourg,84.8,10.1,0,5.1
Hungary,88.2,8.5,1.5,1.7
Malta,82.3,13.1,2.7,1.9
Netherlands,71.8,17.8,5.1,5.3
Austria,59.7,22.3,13.4,4.6
Poland,91.4,4.3,0.4,3.9
Portugal,87,11,1.8,0.2
Romania,93,7,0,0
Slovenia,63.2,22.5,11.6,2.7
Slovakia,97,2.8,0.2,0
Finland,60.9,19.3,12.5,7.3
Sweden,46.8,30,9.5,13.6
Norway,49.4,36.4,6.2,8
Switzerland,27.8,22.6,26.3,23.2
Montenegro,97.9,1.3,0.8,0
Serbia,97.7,2,0,0.3
Türkiye,90.8,7.3,0.9,0.9
,,,,
Special value,,,,
:,not available,,,
