Data extracted on 09/09/2024 14:35:28 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,
Sex,,Females,,
Age class,,From 45 to 54 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),42.1,31.3,12.4,14.1
Belgium,41.9,23.1,18.9,16.1
Bulgaria,61.3,22.4,8.8,7.5
Czechia,21.2,40.2,19.7,19
Denmark,28.2,30.7,14,27.2
Germany,:,:,:,:
Estonia,22.5,38.5,22.9,16.1
Ireland,24.7,27.6,13,34.6
Greece,48.8,40.4,7.1,3.7
Spain,36.5,43.7,9.9,9.9
France,39.1,33.2,13.6,14.2
Croatia,51.9,27.7,12.1,8.3
Italy,52.3,22,10.5,15.2
Cyprus,64.2,25.9,6.6,3.3
Latvia,48.7,19.7,19.3,12.3
Lithuania,48.5,29,14,8.4
Luxembourg,18.3,43.9,10.5,27.3
Hungary,43,35.5,10.5,11
Malta,36,42.8,9.3,11.9
Netherlands,27.8,30,21.2,21
Austria,28.5,35,14.9,21.5
Poland,40.4,29.6,13.2,16.8
Portugal,40.5,45.7,9.6,4.1
Romania,75,20.1,3.7,1.2
Slovenia,32.7,31.6,16.6,19.1
Slovakia,35.8,40,14.9,9.3
Finland,18.2,36.2,17.8,27.8
Sweden,26.4,26.2,14.2,33.2
Norway,29,29.5,15.6,25.9
Switzerland,19.3,34.8,16.3,29.7
Montenegro,65.1,23.4,5.4,6.1
Serbia,60.1,29.5,7.6,2.8
Türkiye,53.4,27.6,11.4,7.6
,,,,
Special value,,,,
:,not available,,,
