Data extracted on 09/09/2024 14:35:22 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,All ISCED 2011 levels,,
Sex,,Males,,
Age class,,From 16 to 24 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),47.2,30.6,12.5,9.7
Belgium,49.2,25.8,13.3,11.6
Bulgaria,53.2,24.2,14.6,8
Czechia,42,29.7,15.7,12.7
Denmark,38.9,37.5,13.4,10.2
Germany,:,:,:,:
Estonia,29.3,41.1,15.8,13.8
Ireland,45,25.5,9.1,20.4
Greece,51,37.4,6.3,5.4
Spain,42.2,38.8,12.5,6.5
France,44.1,30.1,13.4,12.3
Croatia,43.3,24.3,21.3,11.2
Italy,59,22.7,8.2,10
Cyprus,80.3,12.5,5,2.2
Latvia,55.8,24.8,13.5,5.8
Lithuania,44.6,33.4,17.6,4.4
Luxembourg,33.3,48.3,7.5,10.8
Hungary,46.5,29.8,14.4,9.3
Malta,63.2,22.7,6.5,7.5
Netherlands,45.7,30.4,12.8,11.1
Austria,48.2,34.8,11.1,6
Poland,37.6,27.7,19.7,15
Portugal,58.5,31,8.3,2.2
Romania,44.6,30.1,17.3,8
Slovenia,50.4,27.7,9.4,12.5
Slovakia,53.4,30.1,8.7,7.8
Finland,36.1,42.6,14.6,6.6
Sweden,37.7,38.5,13.6,10.2
Norway,33.5,42.5,15.8,8.2
Switzerland,25.3,34.8,23.3,16.6
Montenegro,46.6,29.3,17.3,6.8
Serbia,52,30.1,16.1,1.9
Türkiye,59.9,21.7,9.1,9.3
,,,,
Special value,,,,
:,not available,,,
