Data extracted on 09/09/2024 14:35:27 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,
Sex,,Males,,
Age class,,From 20 to 64 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),61.9,23.4,7.8,6.9
Belgium,60.5,20.1,10.4,8.9
Bulgaria,74.7,15.3,5.6,4.4
Czechia,59,25.3,8.2,7.5
Denmark,41.9,35.5,13.6,9
Germany,:,:,:,:
Estonia,41.6,37.4,10.9,10.1
Ireland,55.9,24.4,8.7,11
Greece,64.1,27.3,5.5,3.1
Spain,49.7,35.4,8.5,6.4
France,59.2,23.7,8.1,9
Croatia,77.1,14.3,5.4,3.2
Italy,67.2,17.1,7.4,8.3
Cyprus,82.3,12.6,2.8,2.4
Latvia,71.6,14.5,7.9,6.1
Lithuania,74.4,18.2,3.7,3.7
Luxembourg,40.9,42.8,8.2,8
Hungary,64,24.6,6.3,5.1
Malta,63.5,23.3,6.1,7.1
Netherlands,50.4,28.7,13.7,7.3
Austria,54.6,29.6,8.6,7.2
Poland,68.6,19.3,6.2,5.9
Portugal,63.5,27.6,5.6,3.3
Romania,82.4,12.6,3.6,1.4
Slovenia,59.6,26.7,8.2,5.5
Slovakia,76.2,16.8,4.4,2.6
Finland,41.2,32,14,12.8
Sweden,37.6,31.5,15.1,15.8
Norway,46.3,29.6,12.5,11.6
Switzerland,31.5,37.4,14.6,16.5
Montenegro,77.9,13,4.2,4.9
Serbia,82,13.1,4.1,0.8
Türkiye,70.8,17.8,5.2,6.3
,,,,
Special value,,,,
:,not available,,,
