Data extracted on 09/09/2024 14:35:28 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,
Sex,,Females,,
Age class,,From 75 to 84 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),37.8,27,14.5,20.7
Belgium,42.4,25.7,9.7,22.2
Bulgaria,63.7,19.3,10.1,6.8
Czechia,25.2,29.7,18.1,27
Denmark,22.3,35.8,18.8,23.1
Germany,:,:,:,:
Estonia,31.3,26.4,12.8,29.5
Ireland,19.2,28.5,20.2,32.1
Greece,52.7,30.4,10.6,6.2
Spain,32.9,35.6,15.7,15.8
France,25.9,24.1,16.1,33.9
Croatia,50.1,24.7,12.9,12.3
Italy,49.7,23,11.3,16
Cyprus,45.2,34,15.7,5.1
Latvia,48.7,16.4,15.2,19.6
Lithuania,55.1,26.9,10.6,7.4
Luxembourg,26,32.8,17.9,23.3
Hungary,36.8,34,13.9,15.2
Malta,33,33.5,8.9,24.5
Netherlands,17.8,21.3,28.9,32.1
Austria,28,31.4,19.8,20.7
Poland,42.4,22.1,14,21.4
Portugal,51.9,38.4,4,5.7
Romania,71.6,23.5,2.9,2.1
Slovenia,31.9,28.1,10.6,29.4
Slovakia,46.5,38,7.7,7.9
Finland,34.8,23,17.1,25.1
Sweden,34.4,18.2,19.9,27.4
Norway,15.9,21.4,12.3,50.3
Switzerland,14.1,26.7,19.9,39.3
Montenegro,79.1,15.5,3.7,1.7
Serbia,62.4,24.1,8.3,5.2
Türkiye,47.6,26.2,4.3,21.9
,,,,
Special value,,,,
:,not available,,,
