Data extracted on 09/09/2024 14:35:26 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,
Sex,,Total,,
Age class,,From 35 to 44 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),56.1,26.7,9.1,8.2
Belgium,53.9,22.8,12.3,11
Bulgaria,71.5,19,4.7,4.8
Czechia,49.4,30,11.6,9.1
Denmark,42.1,32.5,12,13.3
Germany,:,:,:,:
Estonia,42.6,35.9,10,11.4
Ireland,44.7,29.2,7.6,18.5
Greece,61.5,29.8,6.1,2.6
Spain,50.9,37.7,6.2,5.2
France,49.1,29.8,10.9,10.1
Croatia,65,20.7,10.2,4.2
Italy,69.2,16.5,6.7,7.7
Cyprus,78,15,3.7,3.3
Latvia,65.1,18.1,8.8,7.9
Lithuania,63.7,27.5,4.2,4.6
Luxembourg,28.9,57.5,5.3,8.3
Hungary,59.1,28.7,6.4,5.8
Malta,54.3,30.7,7.3,7.7
Netherlands,41.8,27.9,18.4,11.8
Austria,44.2,30.7,12.9,12.2
Poland,59,22.6,9.3,9.1
Portugal,57.8,33.4,6,2.7
Romania,75.9,19.8,3.8,0.6
Slovenia,48.9,29,11.2,11
Slovakia,59.6,28.3,8.3,3.9
Finland,38,30.3,13.7,18
Sweden,34.1,32.6,15.1,18.2
Norway,38.4,31,13.5,17.1
Switzerland,26.1,40.7,15.7,17.5
Montenegro,75.5,14.4,4.7,5.4
Serbia,73.5,19.6,4.8,2.1
Türkiye,66.9,20.3,6.2,6.7
,,,,
Special value,,,,
:,not available,,,
