Data extracted on 09/09/2024 14:35:26 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,
Sex,,Total,,
Age class,,From 25 to 34 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),54.6,27.7,9.1,8.7
Belgium,55.1,23.3,13.5,8
Bulgaria,62.3,20,10.8,6.9
Czechia,46.4,33.1,9.5,11.1
Denmark,37.8,39,13.4,9.8
Germany,:,:,:,:
Estonia,29.7,43.7,13.6,12.9
Ireland,54.3,24.6,8.8,12.4
Greece,54.2,35.5,6,4.3
Spain,43.6,42.4,8,6.1
France,54,26.1,9.3,10.6
Croatia,64.9,21.4,8.1,5.7
Italy,68.2,15.9,7.4,8.5
Cyprus,77.7,16.7,2.6,2.9
Latvia,58.6,21,12.1,8.2
Lithuania,65,24.4,6.3,4.2
Luxembourg,34.7,47.7,9.9,7.7
Hungary,57.2,28.7,8.5,5.6
Malta,56.2,29.2,9,5.6
Netherlands,44.1,32.1,11.8,12
Austria,40.8,35.9,13.2,10.1
Poland,54.6,24.2,10.6,10.5
Portugal,59.3,32.5,5,3.2
Romania,72.9,20.3,5.2,1.5
Slovenia,50.6,28.2,8.8,12.5
Slovakia,64.9,23.1,6.8,5.2
Finland,32.2,33.3,17.3,17.3
Sweden,35.1,35.3,13.5,16.1
Norway,37.7,32,13.8,16.5
Switzerland,21.4,40.1,18.4,20.2
Montenegro,70.8,16.9,6.1,6.2
Serbia,65.5,22.7,10,1.8
Türkiye,65.2,20.6,6.8,7.4
,,,,
Special value,,,,
:,not available,,,
