Data extracted on 09/09/2024 14:35:28 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,
Sex,,Females,,
Age class,,65 years or over,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),37,27.8,14.5,20.8
Belgium,34.7,23.8,14.3,27.2
Bulgaria,60.9,22.6,9.8,6.7
Czechia,22.4,32.4,18.7,26.5
Denmark,21.7,32.4,17.6,28.3
Germany,:,:,:,:
Estonia,27.9,30.1,15.9,26.1
Ireland,16.1,31.6,16.4,35.9
Greece,51.7,35.1,8.1,5.1
Spain,29.5,36.9,15.8,17.8
France,25.3,26.1,16.3,32.4
Croatia,51.1,27.9,11.6,9.3
Italy,49,21.1,11.5,18.3
Cyprus,45,31.9,14.6,8.4
Latvia,45.8,19.4,15.4,19.4
Lithuania,48.8,29.9,11.9,9.4
Luxembourg,13.6,32.3,17.8,36.3
Hungary,38.2,31.3,15.4,15.1
Malta,34.9,33.8,9.7,21.7
Netherlands,18,24.8,26.3,30.9
Austria,27,33.4,18.8,20.8
Poland,40.5,24.5,13.8,21.2
Portugal,36.6,43,10.9,9.5
Romania,72.2,21,5,1.8
Slovenia,33.2,28.9,14.3,23.7
Slovakia,43.1,35.8,12.8,8.4
Finland,29.5,27.3,15.6,27.5
Sweden,24.4,19,21,35.6
Norway,18,21.8,17.8,42.4
Switzerland,12.7,24.8,19.6,42.8
Montenegro,74.3,16,5.5,4.3
Serbia,57.4,27.5,7.8,7.3
Türkiye,57.8,20.4,6.7,15.1
,,,,
Special value,,,,
:,not available,,,
