Data extracted on 09/09/2024 14:35:24 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,"Less than primary, primary and lower secondary education (levels 0-2)",,
Sex,,Total,,
Age class,,From 16 to 29 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),46.3,29.6,13.4,10.8
Belgium,45.9,24.5,16.6,13
Bulgaria,73.4,15.6,7.6,3.4
Czechia,31.2,31.4,20.8,16.6
Denmark,39.9,38.8,9.6,11.7
Germany,:,:,:,:
Estonia,27.3,30.1,20.7,21.9
Ireland,32.7,27.8,10.5,29.1
Greece,49.9,36.5,6.7,6.9
Spain,45.2,35.8,12.3,6.7
France,37.6,31.7,15.6,15.1
Croatia,23.8,31.3,28.8,16
Italy,63.6,20.1,8,8.4
Cyprus,82.8,13.6,2.6,1
Latvia,47.1,26.4,17.8,8.7
Lithuania,28.6,31,31.1,9.3
Luxembourg,35.7,46.4,6.3,11.7
Hungary,50,29,15.1,5.8
Malta,79.9,14.3,2.3,3.5
Netherlands,50.6,24.9,13.9,10.6
Austria,34.2,43.5,13.5,8.8
Poland,25.6,25,26.5,22.9
Portugal,55.1,33.6,7.8,3.5
Romania,54,24.8,14.2,7
Slovenia,31.3,34.7,16.9,17.1
Slovakia,40.5,33.4,14.5,11.6
Finland,32,40.4,17.8,9.8
Sweden,35.2,40.6,12.5,11.8
Norway,28.6,45.8,14.2,11.4
Switzerland,19.7,35.1,23.9,21.3
Montenegro,36.1,34.5,17.4,12
Serbia,40.3,35.3,22.2,2.2
Türkiye,67.3,17.7,7,8
,,,,
Special value,,,,
:,not available,,,
