Data extracted on 09/09/2024 14:35:28 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,
Sex,,Females,,
Age class,,From 16 to 44 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),39.2,32.8,14.3,13.7
Belgium,36.3,28.1,18.9,16.7
Bulgaria,46.6,26.8,16.8,9.8
Czechia,26.6,38.7,16.7,18.1
Denmark,27.4,41.4,16.7,14.6
Germany,:,:,:,:
Estonia,21,43.1,15.9,19.9
Ireland,29.9,34,11.7,24.4
Greece,42.2,41.1,10.2,6.5
Spain,31.9,46,12.7,9.4
France,33.3,33.6,16.9,16.2
Croatia,40.8,29.4,17.6,12.3
Italy,57.9,18,11.8,12.3
Cyprus,70,20.7,5.3,4
Latvia,41.2,25.3,17.6,15.9
Lithuania,38.1,35.1,18.4,8.3
Luxembourg,21.9,56.1,8.7,13.4
Hungary,39.9,35.9,13.9,10.3
Malta,38.8,39.2,11.5,10.5
Netherlands,36.3,29.4,16.3,17.9
Austria,27.5,36.5,18.5,17.5
Poland,35.9,27.1,16.9,20.1
Portugal,43,43.1,10.1,3.7
Romania,53.9,30.6,11.4,4.2
Slovenia,26.1,29.6,19,25.3
Slovakia,37.6,38.5,14.4,9.5
Finland,25.6,36.9,16.3,21.2
Sweden,27.5,41,13.9,17.6
Norway,25.6,43.9,11.7,18.9
Switzerland,17.1,40,20.4,22.5
Montenegro,52.6,23.4,15.6,8.4
Serbia,45.7,36,12.8,5.6
Türkiye,45,27.5,13,14.5
,,,,
Special value,,,,
:,not available,,,
