Data extracted on 09/09/2024 14:35:26 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,"Less than primary, primary and lower secondary education (levels 0-2)",,
Sex,,Females,,
Age class,,From 45 to 64 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),65.6,21.9,6.4,6.1
Belgium,56.1,18,12.2,13.6
Bulgaria,94.3,3.7,1,1
Czechia,52.5,24,13.1,10.4
Denmark,43.4,29.4,12.2,15.1
Germany,:,:,:,:
Estonia,56.8,30.4,6.5,6.3
Ireland,47.9,24.5,7.1,20.5
Greece,68.5,24.6,4.9,2.1
Spain,58.4,30.9,5.9,4.7
France,54.1,29.4,8.2,8.3
Croatia,81.7,13.9,3.5,0.8
Italy,78.3,12.1,5,4.6
Cyprus,78.5,14.7,4.4,2.4
Latvia,78.2,15.9,1.8,4.1
Lithuania,63.1,13.3,20.4,3.3
Luxembourg,44.3,36.6,9.6,9.5
Hungary,76.7,16.7,3.9,2.8
Malta,63.9,24.9,5,6.1
Netherlands,42.5,22.7,17.4,17.5
Austria,57.5,28,7.7,6.8
Poland,66.1,18.6,6,9.3
Portugal,73.5,20.8,3.6,2
Romania,91.9,7.5,0.3,0.3
Slovenia,66.5,19.2,6.7,7.7
Slovakia,87.7,6.4,4.3,1.6
Finland,39.2,24.2,14,22.6
Sweden,39.1,34.5,10.7,15.8
Norway,37.8,24.4,9.7,28.2
Switzerland,44.2,36,11.3,8.5
Montenegro,90.6,7.5,0.6,1.4
Serbia,92.3,6.4,1,0.3
Türkiye,86.6,11.1,1.4,1
,,,,
Special value,,,,
:,not available,,,
